Name,Brand,Model,Year,Kms_Driven,Owner,Fuel,Drive,Type,Price
Honda Amaze,HONDA,AMAZE,2021,11799,1,PETROL,MANUAL,SEDAN,799000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2014,52914,1,PETROL,MANUAL,HATCHBACK,364000
Hyundai Santro Xing,HYUNDAI,SANTRO XING,2011,73284,2,PETROL,MANUAL,HATCHBACK,218000
Hyundai GRAND I10 NIOS,HYUNDAI,GRAND I10 NIOS,2019,55115,2,PETROL,MANUAL,HATCHBACK,535000
Maruti Celerio,MARUTI,CELERIO,2016,40547,1,PETROL,AUTOMATIC,HATCHBACK,452000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2013,50244,1,PETROL,MANUAL,HATCHBACK,298000
Renault Kwid,RENAULT,KWID,2018,46656,1,PETROL,MANUAL,HATCHBACK,352000
Honda City,HONDA,CITY,2014,36222,2,PETROL,MANUAL,SEDAN,557000
Honda Brio,HONDA,BRIO,2012,66201,2,PETROL,MANUAL,HATCHBACK,279000
Hyundai Verna,HYUNDAI,VERNA,2019,66427,1,PETROL,MANUAL,SEDAN,974000
Maruti New Wagon-R,MARUTI,NEW WAGON R,2021,77064,1,CNG,MANUAL,HATCHBACK,594000
Maruti Dzire,MARUTI,DZIRE,2018,111035,1,PETROL,AUTOMATIC,SEDAN,512000
Maruti IGNIS,MARUTI,IGNIS,2019,21167,1,PETROL,AUTOMATIC,HATCHBACK,651000
Nissan Micra Active,NISSAN,OTHER,2018,81680,1,PETROL,MANUAL,HATCHBACK,399000
Honda Amaze,HONDA,AMAZE,2018,34578,1,PETROL,MANUAL,SEDAN,1111000
Toyota YARIS,TOYOTA,YARIS,2018,31428,2,PETROL,AUTOMATIC,SEDAN,807000
Hyundai VENUE,HYUNDAI,VENUE,2021,20357,2,PETROL,MANUAL,SUV,781000
Hyundai GRAND I10 NIOS,HYUNDAI,GRAND I10 NIOS,2019,18111,1,PETROL,MANUAL,HATCHBACK,654000
Hyundai NEW SANTRO,HYUNDAI,NEW SANTRO,2021,11041,1,PETROL,MANUAL,HATCHBACK,529000
Maruti Dzire,MARUTI,DZIRE,2020,74490,1,PETROL,MANUAL,SEDAN,602000
Hyundai GRAND I10 NIOS,HYUNDAI,GRAND I10 NIOS,2020,29284,1,PETROL,AUTOMATIC,HATCHBACK,713000
Maruti Swift,MARUTI,SWIFT,2019,81694,1,CNG,MANUAL,HATCHBACK,537000
Maruti Dzire,MARUTI,DZIRE,2018,72038,3,DIESEL,MANUAL,SEDAN,576000
